title,company,location,job_type,url,link,source,score,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
Data Analyst,Noatum Logistics,"Bangalore Urban, Karnataka, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-noatum-logistics-4389213850?position=2&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=kGn3oiARBEv%2F%2Bffjj1OYMA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-noatum-logistics-4389213850?position=2&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=kGn3oiARBEv%2F%2Bffjj1OYMA%3D%3D,LinkedIn,3,2026-03-23,28 minutes ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst,Ford Motor Company,"Chennai, Tamil Nadu, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-ford-motor-company-4389225513?position=7&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=u6YBhJ2AqL8NPjZpwtJZ1A%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-ford-motor-company-4389225513?position=7&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=u6YBhJ2AqL8NPjZpwtJZ1A%3D%3D,LinkedIn,3,2026-03-23,11 minutes ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst,Tata Consultancy Services,"Chennai, Tamil Nadu, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4388914769?position=23&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=1cfOM5yZqf96xeoXjSQavA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-4388914769?position=23&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=1cfOM5yZqf96xeoXjSQavA%3D%3D,LinkedIn,3,2026-03-23,3 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst,Scoutit,"Delhi, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4388916005?position=15&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=BZhUEijVgOuCxekzYuH8ag%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4388916005?position=15&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=BZhUEijVgOuCxekzYuH8ag%3D%3D,LinkedIn,3,2026-03-23,6 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst,Scoutit,"Gurugram, Haryana, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4388909198?position=7&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=7O9sdapMAoJKFBsU55dHZQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4388909198?position=7&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=7O9sdapMAoJKFBsU55dHZQ%3D%3D,LinkedIn,3,2026-03-23,6 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst,Zetheta Algorithms Private Limited,India,Job,https://in.linkedin.com/jobs/view/data-analyst-at-zetheta-algorithms-private-limited-4388670640?position=48&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=a6fIzhd717f2ijydmHW1BA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-zetheta-algorithms-private-limited-4388670640?position=48&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=a6fIzhd717f2ijydmHW1BA%3D%3D,LinkedIn,3,2026-03-23,13 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst,Snapmint,"Mumbai, Maharashtra, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-snapmint-4389066718?position=37&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=fdkDwqw1vcgNppCr5XPxjw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-snapmint-4389066718?position=37&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=fdkDwqw1vcgNppCr5XPxjw%3D%3D,LinkedIn,3,2026-03-23,6 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst,Scoutit,"New Delhi, Delhi, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4388908198?position=16&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=hoRDJULXOrsDc5CCyaD9Eg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4388908198?position=16&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=hoRDJULXOrsDc5CCyaD9Eg%3D%3D,LinkedIn,3,2026-03-23,6 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst,Scoutit,"Noida, Uttar Pradesh, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4388900605?position=17&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=ZVilV0necRgFFfIwb8fSyw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-scoutit-4388900605?position=17&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=ZVilV0necRgFFfIwb8fSyw%3D%3D,LinkedIn,3,2026-03-23,6 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,Greater Kolkata Area,Job,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299778190?position=49&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=GlVGsAdjJRT9KUwTOW3jeQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299778190?position=49&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=GlVGsAdjJRT9KUwTOW3jeQ%3D%3D,LinkedIn,3,2026-03-22,22 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
"Data Analyst (Marketing Analytics, Bangkok Based, Relocation provided)",Agoda,"Pune Division, Maharashtra, India",Job,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299767576?position=2&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=ZVeJGdMFHwnbrK%2F%2Fks8sBw%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-marketing-analytics-bangkok-based-relocation-provided-at-agoda-4299767576?position=2&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=ZVeJGdMFHwnbrK%2F%2Fks8sBw%3D%3D,LinkedIn,3,2026-03-22,22 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst - Propulsion [T500-24579],Delta Air Lines,"Bengaluru, Karnataka, India",Job,https://in.linkedin.com/jobs/view/data-analyst-propulsion-t500-24579-at-delta-air-lines-4389067630?position=14&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=r%2BshEVnpHGDyvV1Wrnge2w%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-propulsion-t500-24579-at-delta-air-lines-4389067630?position=14&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=r%2BshEVnpHGDyvV1Wrnge2w%3D%3D,LinkedIn,3,2026-03-23,6 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst - Sales Operations,Marsh McLennan,Mumbai Metropolitan Region,Job,https://in.linkedin.com/jobs/view/data-analyst-sales-operations-at-marsh-mclennan-4388680763?position=26&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=CHlp5zIEKt0RIK8PfppDSg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-sales-operations-at-marsh-mclennan-4388680763?position=26&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=CHlp5zIEKt0RIK8PfppDSg%3D%3D,LinkedIn,3,2026-03-23,9 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst 2,Zynga,"Bengaluru, Karnataka, India",Job,https://in.linkedin.com/jobs/view/data-analyst-2-at-zynga-4389200280?position=29&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=zQyOIy9vUrnnbXYpRoHwHg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-2-at-zynga-4389200280?position=29&pageNum=0&refId=X3xlhwFCEZmR4MbSYWJEnw%3D%3D&trackingId=zQyOIy9vUrnnbXYpRoHwHg%3D%3D,LinkedIn,3,2026-03-23,2 hours ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
Data Analyst Trainee,MedTourEasy New Delhi,India,Job,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-new-delhi-4388954824?position=23&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=3mPGpfq%2BVxoFNZHuLYLOzQ%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-medtoureasy-new-delhi-4388954824?position=23&pageNum=0&refId=ENEg5q6OoUEf62pa6vsItg%3D%3D&trackingId=3mPGpfq%2BVxoFNZHuLYLOzQ%3D%3D,LinkedIn,3,2026-03-23,7 minutes ago,2026-03-23,22:35:17,hourly,24h,2026-03-23 22:47,,
