job_id,title,company,link,score,status,date_found,date_applied,notes,source
de7dbe103e7cfe80,Data Analyst Intern,Zenithbyte,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388285162?position=2&pageNum=0&refId=10X5tUHOjDudx45x8hgYag%3D%3D&trackingId=QdXXek321xba10YVTOtjbA%3D%3D,5.0,Pending,2026-03-21 15:14:58,,,LinkedIn
9031e80240e5bd65,Data Science Intern,Dexter's Tech,https://in.linkedin.com/jobs/view/data-science-intern-at-dexter-s-tech-4388286119?position=20&pageNum=0&refId=10X5tUHOjDudx45x8hgYag%3D%3D&trackingId=L9M5ofpYr1qA6g3N0Ok9Rw%3D%3D,2.0,Pending,2026-03-21 15:14:58,,,LinkedIn
58ba8b79e47ba5a9,Data Analyst Intern,Zenithbyte,https://in.linkedin.com/jobs/view/data-analyst-intern-at-zenithbyte-4388285162?position=8&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=779IVSCyghT6Q7PaJIgUXg%3D%3D,5.0,Pending,2026-03-21 15:38:13,,,LinkedIn
bc9cadbecf65c6b8,Data Analyst Intern,Webs X UM,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-x-um-4388717287?position=13&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=qIseW747RBnwXeFNRaKt4w%3D%3D,5.0,Pending,2026-03-21 15:38:13,,,LinkedIn
169e571f2792bce8,Data Analyst Intern,Webs IT Solution,https://in.linkedin.com/jobs/view/data-analyst-intern-at-webs-it-solution-4388708438?position=14&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=LuFjjtaNlFUMJKYXAwAJ6A%3D%3D,5.0,Pending,2026-03-21 15:38:13,,,LinkedIn
5b45aea9a29571d7,Data Analyst Internship,Axentrixx Technologies,https://in.linkedin.com/jobs/view/data-analyst-internship-at-axentrixx-technologies-4388287155?position=21&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=1nmx127hZAK8HlMwa%2FAy%2Fg%3D%3D,5.0,Pending,2026-03-21 15:38:13,,,LinkedIn
7e1c10e5d848d425,Data Analyst Trainee,MTEPulse,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mtepulse-4388288158?position=27&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=9KWSiDYDVlDgeYJh7Ho2rg%3D%3D,3.0,Pending,2026-03-21 15:38:13,,,LinkedIn
542e4b610e7609ef,Data Science Intern,Dexter's Tech,https://in.linkedin.com/jobs/view/data-science-intern-at-dexter-s-tech-4388286119?position=30&pageNum=0&refId=OneIbiTx5foEsqtxMnGinw%3D%3D&trackingId=EvRlI8K5P%2FliU17Iby4Idw%3D%3D,2.0,Pending,2026-03-21 15:38:13,,,LinkedIn
4a33d1918edfd9cb,"Data Analyst Internship Research Engine No prior experience required Full Time Work from Home Python SQL Tableau +17 Data Analysis Postgraduate Undergraduate +2 12 K - 15 K/Month Posted Mar 21, 2026 13 days left",Data Analyst Internship,https://unstop.com/internships/data-analyst-internship-research-engine-1663145,5.0,Pending,2026-03-21 16:36:04,,,Unstop
a6105f0c05d89f1d,Data Analyst,Zetheta Algorithms Private Limited,https://internshala.com/internship/detail/work-from-home-data-analyst-internship-at-zetheta-algorithms-private-limited1774087746,3.0,Pending,2026-03-21 16:36:04,,,Internshala - Internship
d6f789ce5b9f7d85,Data Science Intern,Zetheta Algorithms Private Limited,https://internshala.com/internship/detail/work-from-home-data-science-intern-internship-at-zetheta-algorithms-private-limited1774086546,2.0,Pending,2026-03-21 16:36:04,,,Internshala - Internship
915c4464743bf6dc,"Data Analyst Intern (Excel, SQL, Power BI)",Wake Up Whistle,https://in.linkedin.com/jobs/view/data-analyst-intern-excel-sql-power-bi-at-wake-up-whistle-4388274800?position=7&pageNum=0&refId=69iMDd8Zyffqug6%2BElvk4w%3D%3D&trackingId=R%2FmNaH%2BX5KKtXnDV9sdePg%3D%3D,5.0,Pending,2026-03-21 17:23:03,,,LinkedIn
b21151b3d4afdb54,Data Analyst Trainee,MTEPulse,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mtepulse-4388293018?position=19&pageNum=0&refId=69iMDd8Zyffqug6%2BElvk4w%3D%3D&trackingId=J%2BmRoq7Obi%2Fg42x2GSuaUw%3D%3D,3.0,Pending,2026-03-21 17:23:03,,,LinkedIn
fc4db43513c3e2aa,Data Analyst Trainee,MTE Trainings,https://in.linkedin.com/jobs/view/data-analyst-trainee-at-mte-trainings-4388279714?position=13&pageNum=0&refId=69iMDd8Zyffqug6%2BElvk4w%3D%3D&trackingId=A5D1joHhXfHIygWbbqrT0g%3D%3D,3.0,Pending,2026-03-21 17:23:03,,,LinkedIn
