title,company,location,job_type,url,link,source,score,skills,posted_at,posted_text,scraped_on,scraped_time,run_profile,job_window,scraped_at,status,notes
"Business Analyst, AVP",NatWest Group,"Gurugram, Haryana, India",Job,https://in.linkedin.com/jobs/view/business-analyst-avp-at-natwest-group-4390142095?position=49&pageNum=0&refId=hMmVzKmgqt1lWCRiWaCw%2Fw%3D%3D&trackingId=EG6bB74CWXIiaI18IvaQDQ%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-avp-at-natwest-group-4390142095?position=49&pageNum=0&refId=hMmVzKmgqt1lWCRiWaCw%2Fw%3D%3D&trackingId=EG6bB74CWXIiaI18IvaQDQ%3D%3D,LinkedIn,3,,2026-03-25,3 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
"Business Analyst, Prime Video, Prime Video",myGwork - LGBTQ+ Business Community,Mumbai Metropolitan Region,Job,https://in.linkedin.com/jobs/view/business-analyst-prime-video-prime-video-at-mygwork-lgbtq%2B-business-community-4388489263?position=38&pageNum=0&refId=hMmVzKmgqt1lWCRiWaCw%2Fw%3D%3D&trackingId=YtO0HwFKZmh%2BlcnDhrkfug%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-prime-video-prime-video-at-mygwork-lgbtq%2B-business-community-4388489263?position=38&pageNum=0&refId=hMmVzKmgqt1lWCRiWaCw%2Fw%3D%3D&trackingId=YtO0HwFKZmh%2BlcnDhrkfug%3D%3D,LinkedIn,3,,2026-03-24,19 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Business Analyst- Travel and Hospitality domain,Cybage Software,"Pune District, Maharashtra, India",Job,https://in.linkedin.com/jobs/view/business-analyst-travel-and-hospitality-domain-at-cybage-software-4377118136?position=16&pageNum=0&refId=%2F1oryt9kXIlRM6Ak8GEQ8w%3D%3D&trackingId=U8Rgrg9sy2OGvVsRD13SEg%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-travel-and-hospitality-domain-at-cybage-software-4377118136?position=16&pageNum=0&refId=%2F1oryt9kXIlRM6Ak8GEQ8w%3D%3D&trackingId=U8Rgrg9sy2OGvVsRD13SEg%3D%3D,LinkedIn,3,,2026-03-25,11 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
"Business Analyst-Bengaluru,India",Diversified,Greater Bengaluru Area,Job,https://in.linkedin.com/jobs/view/business-analyst-bengaluru-india-at-diversified-4390346038?position=35&pageNum=0&refId=%2F1oryt9kXIlRM6Ak8GEQ8w%3D%3D&trackingId=kH6jFux1VvD043dkS17jPQ%3D%3D,https://in.linkedin.com/jobs/view/business-analyst-bengaluru-india-at-diversified-4390346038?position=35&pageNum=0&refId=%2F1oryt9kXIlRM6Ak8GEQ8w%3D%3D&trackingId=kH6jFux1VvD043dkS17jPQ%3D%3D,LinkedIn,3,,2026-03-25,4 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Business Data Analyst,Kani Solutions Inc,"Bengaluru, Karnataka, India",Job,https://in.linkedin.com/jobs/view/business-data-analyst-at-kani-solutions-inc-4390354827?position=2&pageNum=0&refId=7iU0I6iP%2FLeJS4%2FbIcOfTg%3D%3D&trackingId=B6wIStbQeQve2wHPkfMHfw%3D%3D,https://in.linkedin.com/jobs/view/business-data-analyst-at-kani-solutions-inc-4390354827?position=2&pageNum=0&refId=7iU0I6iP%2FLeJS4%2FbIcOfTg%3D%3D&trackingId=B6wIStbQeQve2wHPkfMHfw%3D%3D,LinkedIn,3,,2026-03-25,1 hour ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Business/Data Analyst,Citi,"Pune Division, Maharashtra, India",Job,https://in.linkedin.com/jobs/view/business-data-analyst-at-citi-4379142472?position=23&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=KhKp5wwZl055beJzJmJzsg%3D%3D,https://in.linkedin.com/jobs/view/business-data-analyst-at-citi-4379142472?position=23&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=KhKp5wwZl055beJzJmJzsg%3D%3D,LinkedIn,3,,2026-03-24,23 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Clinical Business Analyst - Healthcare,Talentgigs,"Chennai, Tamil Nadu, India",Job,https://in.linkedin.com/jobs/view/clinical-business-analyst-healthcare-at-talentgigs-4389889387?position=42&pageNum=0&refId=hMmVzKmgqt1lWCRiWaCw%2Fw%3D%3D&trackingId=3XLPMlB%2BTJ8MuIJZHInpTg%3D%3D,https://in.linkedin.com/jobs/view/clinical-business-analyst-healthcare-at-talentgigs-4389889387?position=42&pageNum=0&refId=hMmVzKmgqt1lWCRiWaCw%2Fw%3D%3D&trackingId=3XLPMlB%2BTJ8MuIJZHInpTg%3D%3D,LinkedIn,3,,2026-03-25,11 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Clinical Data Analyst(CDM),Inductive Quotient Analytics,"Hyderabad, Telangana, India",Internship,https://in.linkedin.com/jobs/view/clinical-data-analyst-cdm-at-inductive-quotient-analytics-4390115310?position=53&pageNum=0&refId=fqmK%2F3v%2FWcTciRUwQy57Wg%3D%3D&trackingId=drZiwJ7rI9xqzGyP0Zj4wA%3D%3D,https://in.linkedin.com/jobs/view/clinical-data-analyst-cdm-at-inductive-quotient-analytics-4390115310?position=53&pageNum=0&refId=fqmK%2F3v%2FWcTciRUwQy57Wg%3D%3D&trackingId=drZiwJ7rI9xqzGyP0Zj4wA%3D%3D,LinkedIn,3,,2026-03-25,7 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,FedEx,"Bengaluru East, Karnataka, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-fedex-4371039081?position=1&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=RHhCys9xnmBuB58o5ZjgWg%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-fedex-4371039081?position=1&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=RHhCys9xnmBuB58o5ZjgWg%3D%3D,LinkedIn,3,,2026-03-25,4 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
Data Analyst,DataFrontier Innovations pvt ltd,"Bengaluru, Karnataka, India",Job,https://in.linkedin.com/jobs/view/data-analyst-at-datafrontier-innovations-pvt-ltd-4390108955?position=35&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=t7z%2B9h9So%2BL%2FDSMR7zs4EA%3D%3D,https://in.linkedin.com/jobs/view/data-analyst-at-datafrontier-innovations-pvt-ltd-4390108955?position=35&pageNum=0&refId=QkwYqaHoX1whbNfKd5654g%3D%3D&trackingId=t7z%2B9h9So%2BL%2FDSMR7zs4EA%3D%3D,LinkedIn,3,,2026-03-25,4 hours ago,2026-03-25,22:30:29,hourly,24h,2026-03-25 22:51,,
